model_std,dataset_std,gold_label_std,prediction_std,error_transition,text_for_review,confidence,prob_negative,prob_neutral,prob_positive,source_dataset
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,"Papa John's founder sues ad agency; his wife files for divorce, saying marriage is 'broken' https://t.co/Hc10XTgidf",0.9735814,0.026150424,0.9735814,0.00026823513,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Volkswagen reveals exotic-sounding ID. Space Vizzion electric wagon at Los Angeles Auto Show,0.99944633,0.00037279693,0.99944633,0.00018082035,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,$BA - 737 MAX crisis claims job of Boeing's top communications official https://t.co/FwntvthN9F,0.9985661,0.0013012724,0.9985661,0.00013262313,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"Billboard adding Apple, YouTube plays to Hot 100",0.9671934,0.0006563994,0.032150157,0.9671934,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Amazon says it signed up new Prime service members in record numbers in the U.K. this week when it aired Premier Le… https://t.co/SM7E7PiVsL,0.99839884,0.0002127889,0.99839884,0.0013883498,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Ultra-Short Obligation Funds Wrap Up Their Third Consecutive Year Of Impressive Net Inflows. Follow this and any ot… https://t.co/CA1OwTZUGX,0.8485523,0.0008931673,0.15055458,0.8485523,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Ford to nearly halve its 2018 before interest and taxes loss in China https://t.co/SULE0vdZhE https://t.co/mZcVGtnFRN,0.9394529,0.05940739,0.0011397172,0.9394529,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Richmond Fed Business Survey Shockingly Rises... Here's Why  https://t.co/c4DsjNAHPS,0.9882384,0.9882384,0.004032927,0.007728709,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Respimat® re-usable inhaler wins 2020 Pharmapack Eco-Design Award,0.9973918,0.00023496304,0.0023732495,0.9973918,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,La Jolla Pharmaceutical to reassess continued development of LJPC-401 based on clinical results,0.9989548,0.00083678594,0.9989548,0.00020843465,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,negative,positive → negative,"""The worst is behind us for this cyclical bear market that began two years ago, not last month,"" said a Morgan Stan… https://t.co/e8xnMsmKNI",0.89392734,0.89392734,0.104434565,0.0016381604,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,$YEXT - Yext: The Crash Is A Buying Opportunity. Read more and get updates on any stock! https://t.co/4mizbyGBTR… https://t.co/B7QRWSRDyq,0.9979711,0.00025208545,0.0017768292,0.9979711,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,positive,negative → positive,Jobless claims hits 2.5 months high,0.99727577,0.0019654047,0.00075883203,0.99727577,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,negative,positive → negative,$ECONX: November Nonfarm Payrolls 266K vs 182K https://t.co/M9gpUZQoF7 consensus https://t.co/uPsOqomWWO,0.57096237,0.57096237,0.012329801,0.41670778,TwitterFinancialNewsSentiment
