dataset_std,model_std,gold_label_std,prediction_std,error_transition,confidence,text_for_review,manual_error_category,manual_note,prob_negative,prob_neutral,prob_positive,source_dataset
Internal,Fine-tuned FinBERT,negative,neutral,negative → neutral,0.9935295,Goldman Sachs Says Wealthiest to Back off Stocks,,,0.0023827704,0.9935295,0.004087752,TwitterFinancialNewsSentiment
Internal,Fine-tuned FinBERT,negative,neutral,negative → neutral,0.98346853,"Hackers have gained access to thousands of Disney+ user accounts, selling them for between $3 and $11, according to… https://t.co/WjNynp7g4w",,,0.016314054,0.98346853,0.00021733285,TwitterFinancialNewsSentiment
Internal,Fine-tuned FinBERT,negative,neutral,negative → neutral,0.99230766,"Madhya Pradesh Vyapam Scam: Man Gets 10 Years, 30 Others Get 7 Years In Jail",,,0.0074864784,0.99230766,0.0002058379,TwitterFinancialNewsSentiment
Internal,Fine-tuned FinBERT,negative,neutral,negative → neutral,0.9863295,Why Aurora Cannabis Is Getting Hammered Today,,,0.003292377,0.9863295,0.010378109,TwitterFinancialNewsSentiment
Internal,Fine-tuned FinBERT,negative,neutral,negative → neutral,0.99042624,Schweizerische Nationalbank : Switzerland Loses Grip on World's Lowest Borrowing Costs -- ...… https://t.co/fuN3T0obd5,,,0.009375057,0.99042624,0.00019875157,TwitterFinancialNewsSentiment
Internal,Fine-tuned FinBERT,negative,neutral,negative → neutral,0.9927044,Oil prices fall but hold near three-month high on trade deal agreement,,,0.0030545616,0.9927044,0.0042410595,TwitterFinancialNewsSentiment
Internal,Fine-tuned FinBERT,negative,neutral,negative → neutral,0.6252717,Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall,,,0.36880338,0.6252717,0.0059249857,TwitterFinancialNewsSentiment
Internal,Fine-tuned FinBERT,negative,neutral,negative → neutral,0.9980574,"Forget 'Ides Of March', Washington 'Storms Of December' Loom Over ""The Holidays"" https://t.co/KK7SgNSh1E",,,0.0017836457,0.9980574,0.00015895219,TwitterFinancialNewsSentiment
Internal,Fine-tuned FinBERT,positive,neutral,positive → neutral,0.99824226,Kodak Is Having a Comeback Moment as Oscars Embrace Film,,,0.00039963017,0.99824226,0.0013580903,TwitterFinancialNewsSentiment
Internal,Fine-tuned FinBERT,positive,neutral,positive → neutral,0.9994124,Saint-Gobain North America Announces Largest Renewable Energy Deal in Company’s 354-Year History,,,0.00028778586,0.9994124,0.0002997012,TwitterFinancialNewsSentiment
Internal,Fine-tuned FinBERT,positive,neutral,positive → neutral,0.9968094,Rains bring drought relief and hope to Australian farmers https://t.co/eTC9tqtevp,,,0.0007022806,0.9968094,0.0024882453,TwitterFinancialNewsSentiment
Internal,Fine-tuned FinBERT,positive,neutral,positive → neutral,0.99907696,"Why Ebix, Inc. (NASDAQ:EBIX) Should Be In Your Dividend Portfolio",,,0.0001720158,0.99907696,0.00075109414,TwitterFinancialNewsSentiment
Internal,Fine-tuned FinBERT,positive,neutral,positive → neutral,0.7884355,Communications Services Up On Rotation Into Cyclical Sectors -- Communications Services Roundup #economy… https://t.co/N0QkHtxl0d,,,0.0008085938,0.7884355,0.21075587,TwitterFinancialNewsSentiment
Internal,Fine-tuned FinBERT,positive,neutral,positive → neutral,0.9602863,Why Disney+ is the only service that can rival Netflix,,,0.00023851871,0.9602863,0.039475087,TwitterFinancialNewsSentiment
Internal,Fine-tuned FinBERT,positive,neutral,positive → neutral,0.9544497,$CAL $TPR $FL - Comeback bid for apparel https://t.co/sLP0UuRWUM,,,0.00190421,0.9544497,0.043646034,TwitterFinancialNewsSentiment
